imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0488612,The Poker Club,The Poker Club,2008,2008-10-16,"Crime, Drama, Thriller",85,USA,English,Tim McCann,"Richard Chizmar, Johnathon Schaech",RAM Films,"Johnny Messner, Michael Risley, Jana Kramer, Lenny Levi, Olivia Archer, Loren Dean, Bruce Faulk, Judith Hawking, Lori Heuring, Molly Irwin, Chris Kipiniak, Maja Miletich, Judy Reyes, Johnathon Schaech",Four friends discover and accidentally kill a burglar -- who may not be alone -- in the kitchen during their weekly poker night.,5.2,367,$ 3200000,,,,11.0,9.0
tt0488658,Mi sono perso il Natale,Unaccompanied Minors,2006,2007-01-05,"Adventure, Comedy, Family",90,USA,"English, Spanish",Paul Feig,"Jacob Meszaros, Mya Stark",Warner Bros.,"Lewis Black, Wilmer Valderrama, Tyler James Williams, Dyllan Christopher, Brett Kelly, Gia Mantegna, Quinn Shephard, Paget Brewster, Rob Corddry, Dominique Saldaña, Jessica Walter, Rob Riggle, Michelle Sandler, David Koechner, B.J. Novak",A group of unaccompanied minors bond while snowed in at the midwestern Hoover International Airport during the holiday season and ultimately create a makeshift holiday themselves.,5.3,10227,$ 25000000,$ 16655224,$ 21949234,43.0,64.0,78.0
tt0488736,Gwangshiki dongsaeng gwangtae,Gwangshiki dongsaeng gwangtae,2005,2005-11-23,"Comedy, Romance",104,South Korea,Korean,Hyun-seok Kim,,MK Pictures,"Tae-gyu Bong, Kyung-ho Jung, Ah-jung Kim, Hyeong-min Kim, Ju-hyuk Kim, Byung-hoon Lee, Yo-won Lee","Two brothers, Kwang-Sik and Kwang-Tae, have very different attitudes toward women. Kwang-Sik is extremely shy and can't say a word to a woman. But Kwang-Tae is a playboy who just sleeps ...",6.7,330,,,$ 14049623,,3.0,2.0
tt0488762,Miseuteo Sokeurateseu,Miseuteo Sokeurateseu,2005,2005-11-10,"Action, Crime",109,South Korea,Korean,Jin-won Choi,,,"Shin-il Kang, Jong-Hyuk Lee, Tae-young Yoon, Rae-won Kim, Kwang-rok Oh, Cheol-min Park, Sung-woong Park, Seo Hyun Yoon",A low-life scumbag gets kidnapped by a mysterious gang and put through inhumane training to become a mole inside the police force.,6.3,437,,,$ 6380429,,2.0,7.0
tt0488763,Il potere della spada,Muyeong geom,2005,2007-06-08,"Action, Adventure, History",117,"South Korea, USA",Korean,Young-jun Kim,"Shin Jun Hee, Kim Tae Kwan",CJ Entertainment,"Hyeon-jun Shin, So-yi Yoon, Seo-jin Lee, Ki-yong Lee, Jung Bong-jin, Won-hee Cho, Ji-woo Choi, Lee Jang-hyun, Ho-bin Jeong, Jun-ha Jeong, Baek Ji-yeol, Bong-jin Jin, Han Kang-ho, Kyeong-ryong Kim, Seo-hyeon Kim","So-ha, a deadly female warrior, is sent to find a exiled prince after the Killer Blade Army killed the royal family.",6.4,2751,,,$ 3868257,,26.0,25.0
tt0488798,Welcome,Welcome,2007,2007-12-21,"Comedy, Romance",159,India,Hindi,Anees Bazmee,"Anees Bazmee, Rajeev Kaul",A.G. Films,"Akshay Kumar, Katrina Kaif, Nana Patekar, Anil Kapoor, Paresh Rawal, Supriya Karnik, Feroz Khan, Mallika Sherawat, Sanjay Mishra, Sherveer Vakil, Asrani, Paresh Ganatra, Adi Irani, Mushtaq Khan, Malaika Arora","A man falls in love with a beautiful woman, but later discovers that her brothers are gangsters.",6.9,17711,,,$ 31203567,,36.0,10.0
tt0488818,Agamista,Agamista,2007,2007-06-13,Action,120,Egypt,Arabic,Tarek Abd Elmoaty,"Tarek Abd Elmoaty, Tarek Abd Elmoaty",Al-Nasr Films,"Kal Naga, Riham Abdel Ghafour, Mai Ezzidine, Amr Mamdouh, Sherif Ramzy","Ez (Khaled Abol Naga) has a complex regarding Drugs and violence after he almost kills a guy in a fight while high on hash, His escape trip to his Family deserted retreat in Agami proves to...",5.0,218,EGP 6500000,,$ 15475,,,
tt0488820,Antonio guerriero di Dio,Antonio guerriero di Dio,2006,2006-06-09,Biography,110,Italy,Italian,Antonello Belluco,"Antonello Belluco, Antonello Belluco",A.B. Film,"Jordi Mollà, Paolo De Vita, Matt Patresi, Andrea Ascolese, Marta Iacopini, Damir Todorovic, Michele Melega, Arnoldo Foà, Franco di Francescantonio, Eleonora Daniele, Giovanni Capalbo, Toni Luigi Arceri, Giulia Maria Belluco, Paolo Braghetto, Alvaro Gradella","The life of Anthony of Padua (1195-1231) from his arrival on Sicily's shores via shipwreck in 1221 to his death. He's a Portuguese monk who, once in Italy, seeks out St. Francis. Anthony's ...",6.3,174,EUR 6000000,,$ 95817,,,2.0
tt0488832,Garpastum,Garpastum,2005,2005-10-27,Drama,116,Russia,"Russian, English, Serbo-Croatian",Aleksey German Jr.,"Oleg Antonov, Aleksey German Jr.",Lenfilm Studio,"Evgeniy Pronin, Danila Kozlovsky, Dmitriy Vladimirov, Aleksandr Bukovski, Chulpan Khamatova, Yuriy Kutsenko, Aleksandr Bykovsky, Ruslan Ibragimov, Evgeniy Kharlanov, Fyodor Lavrov, Dmitri Miron, Leonid Mozgovoy, Stanislav Osipov, Pavel Romanov, Olga Samoshina","Garpastum is a Latin word meaning ball game. Set in 1914 in St. Petersburg, the brothers Andrey and Nikolai are passionate about the matches they play on the streets. They hatch a scheme to...",6.5,593,,,,,5.0,6.0
tt0488834,Hababam Sinifi Güle Güle,Hababam Sinifi Güle Güle,1981,1981-05-01,Comedy,78,Turkey,Turkish,Ertem Egilmez,"Rifat Ilgaz, Yavuz Turgul",Arzu Film,"Sevket Altug, Osman Cavci, Savas Dinçel, Mehmet Ali Erbil, Yonca Evcimik, Aysen Gruda, Hüseyin Kutman, Adile Nasit, Ilyas Salman, Kemal Uzun, Fulya Özcan, Yaprak Özdemiroglu, Cem Özer, Özden Özgürdal","A literature teacher who was born in a village comes to Hababam Sinifi. However, the students in the class mock him because of his accent.",6.4,5141,,,,,,
tt0488836,Hanuman,Hanuman,2005,2005-10-21,Animation,89,India,Hindi,"V.G. Samant, Milind Ukey","Shantanu Ganesh Rode, Bhring Tupkari",Hyderabad Innovatives,"Mukesh Khanna, Viraj, Mona Shetty, Sumeet Pathak, Rajesh Jolly, Manoj Pandey, Pawan Shukla, Shahnawaz Pradhan, Parminder Ghumman, Chanddhar, Sanket Jaiswal, Saptrishi Ghosh, Kishore Bhatt, Anju Jamwal, Pinky Pal Rajput","When Hanuman was born to Anjani a female Apsara and Kesari, by the blessings of Vayu-Dev, the Wind God. Hanuman, who is the 11th rudra avatar of supreme being GOD Shiva himself. He was ...",7.5,615,,,,,4.0,1.0
tt0488840,Koi Aap Sa: But Lovers Have to Be Friends,Koi Aap Sa: But Lovers Have to Be Friends,2005,2005-10-14,"Comedy, Drama, Romance",142,India,Hindi,Partho Mitra,"Mahesh Pandey, Sameer",Balaji Telefilms,"Aftab Shivdasani, Anita Hassanandani Reddy, Dipannita Sharma, Himanshu Malik, Vaidya Advait, Pushy Anand, Gurmeet Choudhary, Shama Deshpande, Rajendra Gupta, Chetan Hansraj, Manoj Joshi, Gautam Kapoor, Dolly Malhotra, Sushmita Mukherjee, Anil Nagrath","An emotional Mumbai-based football player, Rohan, seeks the assistance of childhood friend, Simran, to successfully woo fellow-collegian, Preeti. Simran herself is about to be engaged to ...",5.3,214,,,,,7.0,3.0
tt0488850,Oniwaban,Oniwaban,1974,1974,"Action, Horror, Mystery",86,Japan,Japanese,Takashi Tsuboshima,Kazuo Koike,International Toho Co. Ltd.,"Keiko Aramaki, Hiroshi Ayukawa, Jun Fujimaki, Shôzô Fukuyama, Hiroto Kimura, Shin Kishida, Masaomi Kondô, Ryunosuke Minegishi, Yutaka Mizutani, Shûichirô Moriyama, Kei Satô, Kazuo Suzuki, Keiji Takamine, Kôichi Uenoyama, Sanae Ôhori","Deep in the mountains of feudal Japan, a group of children endure cruel and unorthodox training in order to become the Shogunate's most secret and deadly weapons - the Demon Spies! Their ...",6.6,119,,,,,2.0,6.0
tt0488853,Stockholm Boogie,Stockholm Boogie,2005,2005-10-28,"Comedy, Drama",82,Sweden,Swedish,John Lindgren,"John Lindgren, Karl-Uno Lindgren",Kanal 5,"Erik Johansson, Jens Malmlöf, Maria Lindström, Erica Braun, Peter Lorentzon, Sascha Mesic, Maria Simonsson, Richard Gardt, Nicklas Gustavsson, Johan Wennerholm, Simon Pramsten, Johnny Gustafsson, Erik Zetterberg, Gustav Wållberg, Malou Hansson","We are following the two cousins and best friends, Jerka and Hoffe, during a typical night out in Stockholm. It's summertime and anything can happen.",6.3,1091,,,,,2.0,
tt0488870,Always san-chôme no yûhi,Always san-chôme no yûhi,2005,2005-11-05,"Drama, Family",133,Japan,Japanese,Takashi Yamazaki,"Ryôhei Saigan, Takashi Yamazaki",DENTSU Music And Entertainment,"Maki Horikita, Hidetaka Yoshioka, Shin'ichi Tsutsumi, Koyuki, Hiroko Yakushimaru, Kazuki Koshimizu, Kenta Suga, Masaya Takahashi, Kaga Mochimaru, Tôru Masuoka, Takashi Matsuo, Hiroshi Kamido, Hiroshi Kanbe, Magy, Yôichi Nukumizu","Leaving her provincial home, teenage Mutsuko arrives in Tokyo by train to take a job in a major automotive company but finds that she is employed by a small auto repair shop owned by ...",7.7,2104,JPY 14000000,,$ 38675638,,24.0,11.0
tt0488903,Verfolgt,Verfolgt,2006,2007-01-04,Drama,87,Germany,German,Angelina Maccarone,Susanne Billig,MMM Film Zimmermann & Co.,"Kostja Ullmann, Maren Kroymann, Moritz Grove, Sila Sahin, Ada Labahn, Markus Voellenklee, Stephanie Charlotta Koetz, Sophie Rogall, Susanne Billig, Katharina Pichler, Michael Pink, Frank Meyer-Brockmann",,6.6,504,EUR 350000,,,,8.0,28.0
tt0488906,Zinda,Zinda,2006,2006-01-12,"Action, Drama, Mystery",116,India,"Hindi, English, Thai",Sanjay Gupta,"Vishal Dadlani, Sanjay Gupta",White Feather Films,"Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitly, Mahesh Manjrekar, Raj Zutshi, Alisha Baig, Nitin Raghani, Aditya Siddhu, Rushita Singh, Rahhull Dosani, Chirag, Gaurav Chanana, Master Shlok Chaturvedi, Vicky Arora","A man, taken and locked up for 14 years without any sane reason, is suddenly released, and has 4 days to figure out why this was done to him.",4.9,3168,,$ 332491,$ 332491,,55.0,11.0
tt0488928,Guilty Hearts,Guilty Hearts,2006,2007-07-30,Drama,180,USA,English,"George Augusto, Savina Dellicour","George Augusto, Paul Black",SXM,"Kathy Bates, Gerard Butler, Julie Delpy, Andrea Di Stefano, Anna Faris, Frank Gallegos, Alex Hughes, Eva Mendes, Harriet Rogers, Charles Rubendall, Charlie Sheen, Stellan Skarsgård, Shane Snipes, Imelda Staunton",Six short stories from the heart and what made them bleed....,4.8,727,,,,,4.0,1.0
tt0488962,Big Bad Wolf,Big Bad Wolf,2006,2006-10-25,"Action, Comedy, Fantasy",95,USA,English,Lance W. Dreesen,Lance W. Dreesen,Red Five Entertainment,"Trevor Duke-Moretz, Kimberly J. Brown, Richard Tyson, Sarah Aldrich, Christopher Shyer, Andrew Bowen, Sarah Christine Smith, Jason Alan Smith, Adam Grimes, Robin Sydney, Adam Hendershott, Clint Howard, Martin Dorsla, Jennifer Roa, Walter Perez","After being attacked by a werewolf, a teenager believing it may have been his stepfather attempts to expose him.",5.3,2418,,,,,55.0,32.0
tt0488967,Bloodline,Bloodline,2004,2004-07-02,Horror,96,USA,English,"Keith Coulouris, David Schrader","Keith Coulouris, David Schrader",Radius 60 Studios,"Clay Adams, Josh Gibson, Bryan Smithson, Cherish Hamutoff, Jay Anthony, Kenny Messer, David Matthiessen, Aimee Barth, John Mueller, David Schrader, Keith Coulouris, Lauren Gibbs, Danielle James, Kelly Novak, Aya Sumika","Two brothers marred by a tragic accident have grown up protecting each other. But on a camping trip, one of them is no longer able to contain the torment he's held inside, and a weekend getaway turns into a horrific murder scene.",4.0,158,,,,,6.0,4.0
tt0488988,Chapter 27,Chapter 27,2007,2007-12-15,"Biography, Crime, Drama",84,"Canada, USA",English,J.P. Schaefer,"J.P. Schaefer, Jack Jones",Peace Arch Entertainment Group,"Chuck Cooper, Victor Verhaeghe, Robert Gerard Larkin, Lindsay Lohan, Ursula Abbott, Roy Milton Davis, Brian Bell, Dan Schultz, Adam Scarimbolo, Molly Griffith, Spiro Malas, Jeane Fournier, Kate Higgins, Matthew Nardozzi, Brian O'Neill",A film about Mark David Chapman in the days leading up to the infamous murder of Beatle John Lennon.,5.7,10290,CAD 5000000,$ 56215,$ 187488,32.0,69.0,62.0
tt0488997,Circadian Rhythm,Circadian Rhythm,2005,2005-11-03,"Action, Crime, Drama",90,USA,English,René Besson,James Portolese,285 Pictures,"Rachel Miner, Robert Berson, Seymour Cassel, Sarah Wynter, Adam Ambruso, David Anders, Jonathan Banks, Sigal Diamant, Drama, Lisa Jay, Aiden Cree Lafreniere, Terasa Livingstone, Rick Martins, Jason Nesmith, Shira Scott Astrof","Focuses on a young woman and her radical journey to discover who she is and to find out why multiple enemies want her dead. The woman, SARAH CAUL, is thrown into an action filled construct ...",1.9,105,$ 3000000,,,,1.0,1.0
tt0489010,A Crime,A Crime,2006,2006-10-11,"Crime, Thriller",103,"France, USA",English,Manuel Pradal,"Tonino Benacquista, Manuel Pradal",ARP Sélection,"Harvey Keitel, Emmanuelle Béart, Norman Reedus, Joe Grifasi, Lily Rabe, Kim Director, Brian Tarantina, Patrick Collins, Chuck Cooper, Clem Cheung, Jonathan Lam, Ted Koch, Natalie Caron, Ben Wang, Stephen Payne","Vincent's life is on hold until he finds his wife's killer. Alice, his neighbor, is convinced she can make him happy. She decides to invent a culprit, so that Vincent can find revenge and leave the past behind. But there is no ideal culprit and no perfect crime.",5.7,1886,$ 7000000,,$ 371139,,15.0,10.0
