imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0085895,"Un uomo, una donna e un bambino","Man, Woman and Child",1983,1983-10-01,Drama,99,USA,English,Dick Richards,"Erich Segal, Erich Segal",Gaylord Productions,"Martin Sheen, Blythe Danner, Craig T. Nelson, David Hemmings, Nathalie Nell, Maureen Anderman, Sebastian Dungan, Arlene McIntyre, Melissa Francis, Billy Jayne, Ruth Silveira, Jacques François, Randy Lowell, Lisa Figueroa, Frank Koppala","A man with a wife and two daughters learns that he has a son. It seems that a few years ago while visiting France, he had an accident and he had an affair with the doctor who treated him. ...",6.1,360,,$ 2314561,$ 2314561,,6.0,1.0
tt0085896,Mandi,Mandi,1983,1983,"Comedy, Drama",167,India,Hindi,Shyam Benegal,"Shama Zaidi, Satyadev Dubey",Blaze Film Enterprises,"Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri, Kulbhushan Kharbanda, Saeed Jaffrey, Om Puri, Sreela Majumdar, Neena Gupta, Gita Siddharth, Sunila Pradhan, Soni Razdan, Anita Kanwar, Ratna Pathak Shah, Pankaj Kapur","Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam's brothel from the heart of Hyderabad.",7.6,659,,,,,6.0,1.0
tt0085897,Mani di fata,Mani di fata,1983,1983,Comedy,89,Italy,Italian,Steno,"Franco Marotta, Laura Toscano",Faso Film,"Renato Pozzetto, Eleonora Giorgi, Sylva Koscina, Maurizio Micheli, Stefano Mingardo, Felice Andreasi, Giovanni Frezza, Eleonora Grippo, Elena Mazza, Elena Roverselli, Andrea Montuschi, Franco Mari","Andrea, a forty-year old engineer, suddenly becomes unemployed while his wife France gets a promotion. He is very down hearted and since he does not want to be a burden to his family he ...",5.9,326,,,,,1.0,
tt0085900,Professione: poliziotto,Le marginal,1983,1983-10-26,"Action, Crime, Drama",100,France,French,Jacques Deray,"Jacques Deray, Jean Herman",Cerito Films,"Jean-Paul Belmondo, Henry Silva, Carlos Sotto Mayor, Pierre Vernier, Maurice Barrier, Claude Brosset, Tchéky Karyo, Jacques Maury, Roger Dumas, Gabriel Cattand, Michel Robin, Jacques David, Jean-Louis Richard, Didier Sauvegrain, Stéphane Ferrara",The story is about Commissioner Jordan who arrives in Marseille to combat drug trafficking activities in his own unique way.,6.4,2341,,,,,7.0,9.0
tt0085901,Maria Chapdelaine,Maria Chapdelaine,1983,1983-04-27,Drama,107,"France, Canada",French,Gilles Carle,"Gilles Carle, Guy Fournier",Astral Bellevue Pathé,"Carole Laure, Nick Mancuso, Claude Rich, Amulette Garneau, Yoland Guérard, Pierre Curzi, Donald Lautrec, Gilbert Sicotte, Guy Thauvette, Stéphane Quéry, Josée-Anne Fortin, Louis-Philippe Milot, Gilbert Comptois, Patrick Messe, Claude Evrard","A young woman, living with her parents and siblings on a remote farm in harsh, picturesque northern Québec, has three suitors: a steady and unimaginative farmer, Eutrope, the Americanized ...",5.7,221,$ 4600000,,,,2.0,2.0
tt0085908,C'era una volta,Marvin & Tige,1983,1983-12-01,Drama,104,USA,English,Eric Weston,"Frankcina Glass, Wanda Dell",Major Productions,"John Cassavetes, Billy Dee Williams, Gibran Brown, Denise Nicholas, Fay Hauser, Georgia Allen, Jerry Penson, Charles Darden, May K. Pearce, Lou Walker, Rob Harke, Danny Nelson, Je Nie Fleming, Frank Hart, Tami Dash","Marvin, a heavy-drinking widower who has seen better days and now ekes out a living at odd jobs, meets Tige, an 11-year-old black boy about to kill himself because his mother has just died....",6.8,170,,,,,9.0,2.0
tt0085911,Al-mas' Ala Al-Kubra,Al-mas' Ala Al-Kubra,1983,1983-07-01,"Drama, War",170,"Iraq, UK","English, Arabic",Mohamed Shukri Jameel,"Lateif Jorephani, Mohamed Shukri Jameel",General Organization for Cinema and Theater,"Oliver Reed, Ghazi Al-Takritee, James Bolam, Youssef El Ani, Helen Ryan, Sami Abdul Hameed, Bernard Archard, John Barron, Helen Cherry, Barrie Cookson, Marc Sinden, Fatima Al-Rubai'y, Tu'ma Temimi, Sa'dia Zeidi, Jaafar Al-Saadi",This movie is about the 1920 revolution in Iraq against the English occupation.,5.8,383,,,,,,
tt0085912,Mashaal,Mashaal,1984,1984-02-09,"Action, Drama, Family",162,India,Hindi,Yash Chopra,"Javed Akhtar, Javed Akhtar",Yash Raj Films,"Anil Kapoor, Dilip Kumar, Waheeda Rehman, Rati Agnihotri, Amrish Puri, Saeed Jaffrey, Mohan Agashe, Vikas Anand, Avtar Gill, Gulshan Grover, Iftekhar, Annu Kapoor, Harish Magon, Alok Nath, Nilu Phule",A chain of events changes Vinod's life - from honest journalist to black marketer to an underworld Don and a Racketeer in order to combat Vardhan.,7.4,613,,,,,6.0,3.0
tt0085913,Masoom,Masoom,1983,1983-10-22,Drama,165,India,Hindi,Shekhar Kapur,Gulzar,Krsna Films Unit,"Naseeruddin Shah, Shabana Azmi, Jugal Hansraj, Urmila Matondkar, Aradhana Srivastav, Saeed Jaffrey, Tanuja, Supriya Pathak, Satish Kaushik, Aziz Qureshi, Pran Talwar, Ram Gopal Bajaj, Anila Singh, A. Kukereja, Malaviya Singh",A happy family goes through turbulent times because of a big mistake by one of the family members.,8.4,3542,,,,,30.0,3.0
tt0085916,Matka Królów,Matka Królów,1987,1987-03-01,"Drama, History, War",127,Poland,Polish,Janusz Zaorski,"Kazimierz Brandys, Janusz Zaorski",,"Magda Teresa Wójcik, Zbigniew Zapasiewicz, Franciszek Pieczka, Boguslaw Linda, Adam Ferency, Michal Juszczakiewicz, Krzysztof Zaleski, Joanna Szczepkowska, Zbigniew Zamachowski, Henryk Bista, Zbigniew Bielski, Tadeusz Huk, Jerzy Trela, Stanislaw Kwaskowski, Jerzy Stuhr","Made in 1982, shelved for five years. Story opens with Lucja Krol's husband under the tram. She gives birth to her fourth son on the floor of their new apartment. Neighbor Wiktor, a ...",7.2,209,,,,,1.0,
tt0085918,Mausoleum,Mausoleum,1983,1983-05-13,"Fantasy, Horror",96,USA,English,Michael Dugan,"Robert Barich, Robert Madero",Western International Pictures Inc.,"Marjoe Gortner, Bobbie Bresee, Norman Burton, Maurice Sherbanee, LaWanda Page, Laura Hippe, Sheri Mann, Julie Christy Murray, Chu Chu Malave, Ron Cannon, Joel Kramer, Gene Edwards, Di Ann Monaco, John Branagan, Richard Guarino","A teenager mourning the death of her mother become possessed by a demon who's been preying on her female ancestors for centuries. Years later, the demon starts to take over her body, mentally and physically.",5.1,1785,,,,,51.0,44.0
tt0085919,Per fortuna c'è un ladro in famiglia,Max Dugan Returns,1983,1983-03-25,"Comedy, Drama",98,USA,English,Herbert Ross,Neil Simon,Twentieth Century Fox,"Marsha Mason, Jason Robards, Donald Sutherland, Matthew Broderick, Dody Goodman, Sal Viscuso, Panchito Gómez, Charley Lau, Mari Gorman, Brian Part, Billie Bird, Tessa Richarde, Jim Staahl, Duke Stroud, Sondra Blake",An English teacher and struggling single mother has her life disrupted when the father who abandoned her as a child comes back into her life.,6.6,3255,,$ 17613720,$ 17613720,,40.0,10.0
tt0085933,Furyo,Merry Christmas Mr. Lawrence,1983,1984-02-04,"Drama, War",123,"UK, New Zealand, Japan","English, Japanese",Nagisa Ôshima,"Laurens van der Post, Nagisa Ôshima",National Film Trustee Company,"David Bowie, Tom Conti, Ryuichi Sakamoto, Takeshi Kitano, Jack Thompson, Johnny Ohkura, Alistair Browning, James Malcolm, Chris Broun, Yûya Uchida, Ryûnosuke Kaneda, Takashi Naitô, Tamio Ishikura, Rokkô Toura, Kan Mikami","During WWII, a British colonel tries to bridge the cultural divides between a British POW and the Japanese camp commander in order to avoid bloodshed.",7.3,14706,,$ 2306560,$ 2306560,,84.0,75.0
tt0085934,Merry-Go-Round,Merry-Go-Round,1980,1983-04-06,"Crime, Drama, Mystery",160,France,"French, English",Jacques Rivette,"Eduardo de Gregorio, Suzanne Schiffman",Sunchild Productions,"Maria Schneider, Joe Dallesandro, Danièle Gégauff, Sylvie Matton, Françoise Prévost, Maurice Garrel, Michel Berto, Dominique Erlanger, Frédéric Mitterrand, Jean-François Stévenin, Pascale Dauman, Marc Labrousse, Jean Hernandez, Benjamin Legrand, Florence Bernard","Elizabeth sends telegrams to her old boyfriend Ben in NYC and to her younger sister Leo in Rome to join her in Paris, where she is selling her dead father's estate. When Ben and Leo arrive, a mysterious adventure begins.",6.8,432,,,,,5.0,11.0
tt0085935,Tempesta metallica,Metalstorm: The Destruction of Jared-Syn,1983,1983-08-19,"Action, Adventure, Romance",84,USA,English,Charles Band,Alan J. Adler,Albert Band International Productions Inc.,"Jeffrey Byron, Michael Preston, Tim Thomerson, Kelly Preston, Richard Moll, R. David Smith, Larry Pennell, Marty Zagon, Mickey Fox, William Jones, Winston Jones, Mike Jones, Michael Sinclair Walter, Rick Militi, Speed Stearns","On a desert planet, warlord Jared-Syn is trying to convince a tribe of mutants that he's their messiah and gain unlimited power hidden in a crystal. Ranger Dogen and explorer Dhyana, who's father was murdered by Syn, must stop him.",3.9,1550,,$ 5301085,$ 5301085,,31.0,75.0
tt0085937,Microwave Massacre,Microwave Massacre,1979,1983-08-31,"Comedy, Horror",76,USA,English,Wayne Berwick,"Thomas Singer, Craig Muckler",Reel Life Productions (I),"Jackie Vernon, Loren Schein, Al Troupe, Marla Simon, Claire Ginsberg, Lou Ann Webber, Anna Marlowe, Cindy Gant, Sarah Alt, Karen Marshall, Phil De Carlo, Aaron Koslow, Ed Thomas, John Harmon, Norman Friedman","Fed up of his wife's bad cooking, Donald kills her and turns to cannibalism to satisfy his appetite.",4.2,2113,$ 75000,,,,51.0,71.0
tt0085939,Midnite Spares,Midnite Spares,1983,1983-02-17,"Action, Adventure, Comedy",87,Australia,English,Quentin Masters,Terry Larsen,Filmco Limited,"James Laurie, Gia Carides, Max Cullen, Bruce Spence, David Argue, Tony Barry, Graeme Blundell, John Clayton, Terry Camilleri, John Godden, Jonathan Coleman, Amanda Dole, Ray Marshall, Tessa Mallos, Deborah Masters","After discovering that a group of car thieves may have something to do with his father's untimely death, Steve pursues the criminals and attempts to capture them as well as prove his prowess as a racecar driver.",5.6,125,,,,,4.0,2.0
tt0085947,Misterele Bucurestilor,Misterele Bucurestilor,1983,1984-11-09,"Action, History",97,"Romania, West Germany",Romanian,Doru Nastase,"Eugen Barbu, Nicolae Mihail",,"Teofil Vâlcu, Constantin Dinulescu, Traian Stanescu, David Ohanesian, Szabolcs Cseh, Ion Marinescu, Jean Constantin, Ion Besoiu, Costel Constantin, Enikõ Szilágyi, George Motoi, Olga Delia Mateescu, Ion Dichiseanu, Ovidiu Iuliu Moldovan, Marga Barbu",The Principality of Wallachia with the capital Bucharest (today a region of Romania) before the Revolution of the year 1848. A couple of secret societies are working to chase away the ...,7.3,248,,,,,2.0,
tt0085951,The Boxer's Omen,Mo,1983,1983-10-29,Horror,105,Hong Kong,"Mandarin, Cantonese, Tagalog",Chih-Hung Kuei,"Chih-Hung Kuei, On Szeto",Shaw Brothers,"Phillip Ko, Shao-Yen Lin, Kar-Man Wai, Lung Wei Wang, Somjai Boomsong, Tien-Chu Chin, You-Hsing Lai, Wai Lam, Hak-Shun Leung, Chih Tai Lin, Chun Liu, Han-Yuan Ma, Edmund P. Meneses, Major Oponpa, Victor B. Pumicpic","While in Thailand to avenge his brother who was crippled in a fight with a corrupt Thai boxer, a man gets caught up in a web of fate, Buddhism and black magic.",7.1,1044,,,,,20.0,31.0
tt0085953,Mo tai,Mo tai,1983,1983-09-01,Horror,84,Hong Kong,Cantonese,Hung-Chuen Lau,"Wen-Hua Cheng, Ging-Jiu Lo",Lo Wei Motion Picture Company,"Eddie Chan, Yung-Chang Chin, Pak-Kwong Ho, Meng-Kuang Hsu, Dan Lau, Sai-gang Lau, San Leung, Hsiu-Ling Lu, Pei-Pei Lu, Sha-Fei Ouyang, Kuo-Hua Wen","A woman becomes possessed and dies after a monster is released from an antique vase she had purchased. Twelve years later the monster is re-awakened. First he possesses the family's dog, before moving on to the woman's nephew.",6.3,284,,,,,17.0,14.0
tt0085959,Monty Python - Il senso della vita,The Meaning of Life,1983,1983-09-28,"Comedy, Musical",107,UK,English,"Terry Jones, Terry Gilliam","Graham Chapman, John Cleese",Celandine Films,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Carol Cleveland, Simon Jones, Patricia Quinn, Judy Loe, Andrew MacLachlan, Mark Holmes, Valerie Whittington, Jennifer Franks, Imogen Bickford-Smith",The comedy team takes a look at life in all of its stages in their own uniquely silly way.,7.5,111797,$ 9000000,$ 14929552,$ 14949697,,221.0,80.0
tt0085963,La morte di Mario Ricci,La mort de Mario Ricci,1983,1983-05-25,Drama,100,"Switzerland, France, West Germany",French,Claude Goretta,"Claude Goretta, Georges Haldas",France 3 (FR 3),"Gian Maria Volontè, Magali Noël, Heinz Bennent, Mimsy Farmer, Jean-Michel Dupuis, Michel Robin, Lucas Belvaux, Claudio Caramaschi, Roger Jendly, Bernard-Pierre Donnadieu, Michel Cassagne, Michael Hinz, Marblum Jequier, Jean-Claude Perrin, André Schmidt","The tragic accident of an Italian laborer ,working on the Mont Blanc tunnel.",6.5,122,,,,,1.0,
