imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt6317052,Chennai 600028 II: Second Innings,Chennai 600028 II: Second Innings,2016,2016-12-09,"Comedy, Drama, Sport",150,India,Tamil,Venkat Prabhu,"K. Chandru, Venkat Prabhu",Black Ticket Company,"Jai, Shiva, Premji, Vaibhav Reddy, Aravind Akash, Vijay Vasanth, Nitin Sathya, Ajay Raj, Inigo Prabakaran, Mahat Raghavendra, Abhinay Vaddi, Ilavarasu, T. Siva, Subbu Panchu, Sana Altaf","During a trip to Theni for teammate Raghu's wedding engagement, the Chennai Sharks play a cricket match against the local team. However, an unfortunate chain of events threatens to derail the wedding.",7.0,957,,,$ 23906,,2.0,8.0
tt6317072,Småstad,Småstad,2017,2017-01-20,Drama,91,Sweden,Swedish,Johan Löfstedt,"Johan Löfstedt, Anna Potter",Stavro Filmproduktion AB,"Björn Löfstedt, Pelle Löfstedt, Anna Löfstedt, Bengt Sturzenbecker, Anders Carlsén, Maja Löfstedt, Ludvig Carlsén, Oliver Carlsén, Bashar Abboud, Niclas Angerborn, Safaa Barakat, Saleh Ala Barakat, Urban Bäckström, Edvin Carlsén, Roland Chantre","Since early childhood, Björn has secretly carried an insurmountable fear. When his father dies of old age, he and his four sisters are each left with a video message, that makes him question everything.",6.1,106,SEK 2500000,,,,,2.0
tt6317236,"Empathy, Inc.","Empathy, Inc.",2018,2019-09-13,"Drama, Horror, Sci-Fi",97,USA,English,Yedidya Gorsetman,Mark Leidner,Rigel Films,"Zack Robidas, Kathy Searle, Jay Klaitz, Eric Berryman, AJ Cedeno, Charmaine Reedy, Fenton Lawless, Anthony Mangano, Karen Lynn Gorney, Brandon Engman, Tom Kemnitz Jr., Trip Rockafellow, Ben Scheiner, Selima Smith-Dell",An investor in a VR startup discovers that the reality the company provides isn't virtual.,5.1,334,,,,48.0,47.0,67.0
tt6317962,Fireworks,"Uchiage hanabi, shita kara miru ka? Yoko kara miru ka?",2017,2017-08-18,"Animation, Drama, Family",90,Japan,Japanese,"Akiyuki Shinbo, Nobuyuki Takeuchi","Shunji Iwai, Hitoshi Ône",SHAFT,"Suzu Hirose, Masaki Suda, Mamoru Miyano, Shintarô Asanuma, Toshiyuki Toyonaga, Yûki Kaji, Shin'ichirô Miki, Kana Hanazawa, Takahiro Sakurai, Michiko Neya, Nobuo Tobita, Mitsuru Miyamoto, Fumihiko Tachiki, Takako Matsu, Chiwa Saitô","Schoolchildren Norimichi, Yûsuke and Jun'ichi want to know if fireworks look round or flat from the side. They make a plan to find the answer at a fireworks display, while Nazuna schemes to...",5.5,2356,,$ 525280,$ 25672406,40.0,25.0,42.0
tt6318202,Don't Make That Face by Naveen Richard,Don't Make That Face by Naveen Richard,2017,2017-03-14,Comedy,60,India,English,Kenneth Sebastian,Naveen Richard,OML Entertainment,Naveen Richard,"You've seen him in the critically acclaimed web series ""Better Life Foundation"", or maybe you've seen him in the bizarre space comedy series ""Star Boyz"" or maybe, you've seen him standing ...",6.1,231,,,,,5.0,1.0
tt6318712,Så længe jeg lever,Så længe jeg lever,2018,2018-03-08,"Biography, Drama, Music",110,Denmark,Danish,Ole Bornedal,Ole Bornedal,4Fiction,"Rasmus Bjerg, Henrik Noël Olesen, Harald Kaiser Hermann, Rikke Louise Andersson, Jens Andersen, Jan Chudý, Lasse Lunderskov, Kasper Leisner, Troels Malling Thaarup, Katinka Evers-Jahnsen, Helle Fagralid, Laus Høybye, Peter Mygind, Damian Odess-Gillett, Anders Heinrichsen","The story about one of Denmark's greatest musicians, John Mogensen, his success and failure throughout life as an artist, husband and father - from childhood, through his time in Four Jacks...",6.6,945,,,,,3.0,2.0
tt6318714,Coureur,Coureur,2018,2019-03-13,"Drama, Sport",96,Belgium,"Italian, Dutch",Kenneth Mercken,"Kenneth Mercken, Monica Stan",Czar Film,"Fortunato Cerlino, Karlijn Sileghem, Koen De Graeve, Loïc Bellemans, Nicola Rignanese, Günther Lesage, Noémie Schellens, Giacomo Lorenzi, Niels Willaerts, Carlo Ferrante, Patrick Tuerlinckx, Vladislav Prigunov, Anton Petrov, Nicola Morandini","Young Felix grows up as an inside spectator at cycling races, a bizarre environment where violence and drugs seem to reign. Following his father's footsteps, Felix discovers that his body is not made for the game.",6.4,322,,,$ 19651,,1.0,10.0
tt6318728,Un ange,Un ange,2018,2018-09-19,"Drama, Romance",105,"Belgium, Netherlands, Senegal","French, Wolof",Koen Mortier,"Koen Mortier, Dimitri Verhulst",Czar Film,"Vincent Rottiers, Fatou N'Diaye, Paul Bartel, Katrien Goossens, Matar Diouf, Aïcha Cissé, Lieven Noterman Nancy Debuy, Rokhaya Niang, Ba Mentor, Yankhouba Diop, Alexander Blumenthal, Makhtar Diop, Ronnie Kreeft, Mouhamadou Diarra, Kilifeu","Un Ange follows the encounter of a prostitute, Fae, and a world-famous athlete, Thierry.",5.8,297,,,,,1.0,53.0
tt6318848,The Heretics,The Heretics,2017,2017-11-01,"Fantasy, Horror, Thriller",87,Canada,English,Chad Archibald,"Jayme Laforest, Chad Archibald",Black Fawn Films,"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond, Austin Duffy, Sid McMillan, Colin Price, Alex Loubert, Julie C. Sheppard, Caleigh Le Grand, Anna Jane Edmonds, Meagan Pringle, Emma Waterfield, Colleen Kelly","After she's kidnapped, a young woman begins to undergo a strange transformation.",4.7,1487,,,,,40.0,36.0
tt6318954,Agramon's Gate,Agramon's Gate,2019,2020-02-11,"Horror, Mystery, Thriller",110,USA,,Harley Wallen,Harley Wallen,Painted Creek Productions,"Laurene Landon, Yan Birch, Calhoun Koenig, Colleen Gentry, Alphonso Settles, Harley Wallen, Jennifer Jelsema, Chevonne Wilson, Mason Heidger, Angelina Danielle Cama, Eric Guenter Weber, Kaiti Wallen, Francisco Posada, Jessika Johnson, Aphrodite Nikolovski",A psychic reader and Medium are invited to a party. Something goes very wrong and something comes over from the other side to haunt the people from the party. They must solve the mystery ...,4.6,500,,,,,42.0,11.0
