imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0109593,Il delta di Venere,Delta of Venus,1995,1995-10-13,Drama,102,USA,English,Zalman King,"Anaïs Nin, Elisa M. Rothstein",Alliance Communications Corporation,"Audie England, Costas Mandylor, Eric da Silva, Raven Snow, Rory Campbell, Emma Louise Moore, Bernard Zette, Marek Vasut, Markéta Hrubesová, Daniel Leza, Stephen Halbert, Dale Wyatt, Jirí Ded, Valérie Zawadská, James Donahower","A struggling American writer (England) and a fellow American expatriate (Mandylor) begin a sordid affair among the chaos and discord of 1940 Paris, France on the brink of World War II.",4.7,1883,,$ 63174,$ 63174,,19.0,16.0
tt0109595,Demon Keeper,Demon Keeper,1994,1994-05-01,Horror,72,USA,English,Joe Tornatore,Mikel Angel,The Pacific Trust,"Dirk Benedict, Edward Albert, Mike Lane, Andre Jacobs, Adrienne Pierce, David Sherwood, Jennifer Steyn, Clare Marshall, Diane Nuttall, Elsa Martin, Katrina Maltby, Joe Tornatore, Jeffrey Quinn",For Remy Grilland the world of the occult is nothing more than a way to swindle rich old ladies out of their money. A parlor trick. But when an expert of the supernatural comes to his ...,3.7,162,,,,,8.0,3.0
tt0109596,Demonsoul,Demonsoul,1995,1995,Comedy,81,UK,,Elisar Cabrera,Elisar Cabrera,Gothic Films,"Eileen Daly, Kerry Norton, Michael Alexander, Suzanne Ballantyne, Gavin Barnard, R.J. Bell, Katherine Blick, Nikita Blum, Mark Braby, Allen Bryce, Mayumi Cabrera, Daniel Figuero, Graham Fletcher-Cook, Kira Hansen, Isabella Hyams","Erica is being haunted by nightmares nearly every night. She dreams of ritual sacrifice, black magic and a mysterious red-headed woman. When the dreams start to invade her during the day ...",1.7,359,,,,,4.0,1.0
tt0109610,Desvío al paraíso,Desvío al paraíso,1994,1994-08-01,Thriller,97,"Spain, Puerto Rico",English,Gerardo Herrero,"Daniel Monzón, Santiago Tabernero",Tornasol Films,"Axel Anderson, Harry Caramanos, Charles Dance, Pablo Figueroa, Katrina Gibson, Marian Pabon, Gladys Rodríguez, Assumpta Serna, Morgan Weisser","Quinn shows up at an apartment building in Paradise, a small backwoods community in Puerto Rico, purporting to be the new caretaker the owner has been expecting. He gets right to work, ...",5.5,146,,,,,3.0,
tt0109611,Det bli'r i familien,Det bli'r i familien,1993,1993-11-19,Drama,98,"Denmark, Sweden",Swedish,Susanne Bier,"Lars Kjeldgård, Philip Zandén",Det Danske Filminstitut,"Philip Zandén, Ghita Nørby, Ernst-Hugo Järegård, Ana Padrão, Anna Wing, Bodil Udsen, Filipe Ferrer, Claus Nissen, Charlotte Sieling, Birgitte Simonsen, Ann Christine Simonsen, Henrik Larsen, Helene Egelund, Isabel de Castro, Laurinda Ferreira","Jan thinks he is Swedish-Danish, but after his mother's death he discovers he was adopted. As his world begins to fall apart, he decides to find his birth parents. The hunt leads him to ...",5.5,118,,,,,1.0,
tt0109612,El detective y la muerte,El detective y la muerte,1994,1994-09-30,Thriller,108,"Spain, Poland, France",Spanish,Gonzalo Suárez,"Gonzalo Suárez, Gonzalo Suárez",Rocabruno S.A.,"Javier Bardem, Maria de Medeiros, Carmelo Gómez, Héctor Alterio, Charo López, Mapi Galán, Francis Lorenzo, Paulina Gálvez, Myriam De Maeztu, Jerzy Bonczak, Miroslaw Zbrojewicz, Grzegorz Emanuel, Andrzej Zarnecki, Katarzyna Bargielowska, Ethel Szul","An aged and powerful magnate is dying. He offers Laura, his young and beautiful mistress, a birthday gift; a sophisticated display of virtual reality in which he will ""come to life"" for her...",5.3,218,,,,,3.0,1.0
tt0109614,Dezerter,Dezerter,1992,1992-06-15,"Drama, Romance, War",109,Federal Republic of Yugoslavia,Serbian,Zivojin Pavlovic,"Fyodor Dostoevsky, Snezana Lukic",Centar Film,"Rados Bajic, Rade Serbedzija, Milena Pavlovic, Hristina Popovic, Mirko Babic, Marina Markovic, Dusan Janicijevic, Branko Cvejic, Svetozar Cvetkovic, Janez Vrhovec, Gorica Popovic, Ljiljana Jovanovic, Ljubomir Cipranic, Nadja Sekulic, Vladan Zivkovic","During the Yugoslav break-up, Federal Army officer is fed up with war and takes some leave in Belgrade. However, it turns out that he is less haunted by war horrors than with some ...",6.2,126,,,,,,1.0
tt0109625,Díky za kazdé nové ráno,Díky za kazdé nové ráno,1994,1994-11-03,Comedy,100,Czech Republic,"Czech, Hebrew, Ukrainian",Milan Steindler,"Halina Pawlowská, Halina Pawlowská",Ceská Televize,"Ivana Chýlková, Franciszek Pieczka, Alena Vránová, Tereza Brodská, Barbora Hrzánová, Dagmar Edwards, Miroslav Etzler, Petr Cepek, Hana Davidová, Tomás Hanák, John Hench, Karel Hermánek, Vilma Jamnická, Miriam Kantorková, Alena Karesová","This film is about life of a family, which lived in Prague since since 1968 to 1980. Father of the family comes from Ukraine and so every year someone from Ukraine to visit this family and ...",7.1,253,,,,,1.0,2.0
tt0109627,Dinosaur Island,Dinosaur Island,1994,1994-03-23,"Adventure, Comedy, Fantasy",85,USA,English,"Fred Olen Ray, Jim Wynorski","Bob Sheridan, Christopher Wooden",,"Ross Hagen, Richard Gabai, Antonia Dorian, Griffin Drew, Michelle Bauer, Peter Spellos, Tom Shell, Steve Barkett, Toni Naples, Bob Sheridan, Nikki Fritz, Becky LeBeau, Robin Chaney, Wendy Griffen, Deborah Dutch",An army captain is flying three misfit deserters home for a court martial when the plane has engine trouble and they must land on an uncharted island. There they find a primitive society of...,3.7,1396,$ 190000,,,,32.0,16.0
tt0109635,Rivelazioni,Disclosure,1994,1995-01-27,"Drama, Thriller",128,USA,English,Barry Levinson,"Michael Crichton, Paul Attanasio",Warner Bros.,"Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall, Roma Maffia, Dylan Baker, Rosemary Forsyth, Dennis Miller, Suzie Plakson, Nicholas Sadler, Jacqueline Kim, Joe Urla, Michael Chieffo, Joseph Attanasio, Faryn Einhorn","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",6.1,45550,$ 55000000,$ 83015089,$ 214015089,58.0,105.0,64.0
tt0109642,L'ultima eclissi,Dolores Claiborne,1995,1995-09-15,"Crime, Drama, Mystery",132,USA,English,Taylor Hackford,"Stephen King, Tony Gilroy",Castle Rock Entertainment,"Kathy Bates, Jennifer Jason Leigh, Judy Parfitt, Christopher Plummer, David Strathairn, Eric Bogosian, John C. Reilly, Ellen Muth, Bob Gunton, Roy Cooper, Wayne Robson, Ruth Marshall, Weldon Allen, Tom Gallant, Kelly Burnett",A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.,7.4,38051,,$ 24361867,$ 24361867,62.0,184.0,45.0
tt0109643,Don't Do It,Don't Do It,1994,1995-05-02,"Comedy, Romance",90,USA,English,Gene Hess,Gene Hess,Lippert Pictures,"James Le Gros, Heather Graham, Esai Morales, Sheryl Lee, James Marshall, Sarah Trigger, Balthazar Getty, Alexis Arquette, Elizabeth Barondes, Steven Brill, Gene Hess, Keith Harvey, Randy Lippert, Rob Steinberg, Aimee Graham","The secret longings of three young, hip L.A. couples provides the impetus of the conversations in lightweight drama which focuses upon the issue of commitment. One member of each couple, ...",4.7,166,,,,,8.0,1.0
tt0109655,Double Happiness,Double Happiness,1994,1995-07-28,"Drama, Romance",87,Canada,"English, Cantonese",Mina Shum,Mina Shum,British Columbia Film Commission,"Sandra Oh, Stephen Chang, Alannah Ong, Donald Fong, Frances Isles, Callum Keith Rennie, Claudette Carracedo, Johnny Mah, Greg Chan, Estelle Coppens, Lesley Ewen, Nathan Fong, Dennis Foon, Kevin Kelly, Gene Kiniski",Story of a young Chinese-Canadian woman caught between traditional and modern societies.,7.0,1062,,$ 759393,$ 759393,,23.0,20.0
tt0109656,Double Obsession,Double Obsession,1992,1992,Thriller,88,USA,English,Eduardo Montes-Bradley,"Jeffrey Delman, Rick Marx",Reivaj Films,"Margaux Hemingway, Maryam d'Abo, Frederic Forrest, Scott Valentine, Beth Fisher, Jamie Horton, Blair Weickgenant, Charles Carroll, Rachel Ward, Bea Hurwitz, Hank Gaffney, Mary A. Gaffney, Don Lambert, Darryl Hogue, Sydney Warner","A disturbed lesbian librarian kidnaps a beautiful young woman she's obsessed with, breaks her foot to keep her incapacitated, then starts to kill off people she believes are intruding in their ""relationship"".",4.3,115,,,,,2.0,1.0
tt0109661,Dragonworld,Dragonworld,1994,1994-07-27,"Adventure, Family, Fantasy",86,"USA, UK",English,Ted Nicolaou,"Charles Band, Michael McGann",Full Moon Entertainment,"Courtland Mead, Janet Henfrey, Stuart Campbell, Andrew Keir, Lila Kaye, Alastair Mackenzie, Brittney Powell, John Calvin, Jim Dunk, Sue Douglas, John Woodvine, Marioara Stelian, Valentin Popescu, Cameron Stuart, Claudiu Istodor",A young man must risk his life to save his fire-breathing friend from the unscrupulous owner of an amusement park.,5.5,483,,,,,5.0,9.0
tt0109665,Incubo d'amore,Dream Lover,1993,1994-05-06,"Drama, Mystery, Thriller",103,USA,"Japanese, English, German",Nicholas Kazan,Nicholas Kazan,PolyGram Filmed Entertainment,"James Spader, Mädchen Amick, Fredric Lehne, Bess Armstrong, Larry Miller, Kathleen York, Kate Williamson, Tom Lillard, William Shockley, Carl Sundstrom, Irwin Keyes, Joel McKinnon Miller, Joseph Scoren, Archie Lang, Clyde Kusatsu",A successful businessman tries to uncover what is wrong with his wife.,6.2,4158,,$ 256264,$ 256264,,33.0,19.0
tt0109675,Drop Squad,Drop Squad,1994,1994-10-28,Drama,86,USA,English,David C. Johnson,"David Taylor, David C. Johnson",40 Acres & A Mule Filmworks,"Eriq La Salle, Vondie Curtis-Hall, Ving Rhames, Kasi Lemmons, Leonard L. Thomas, Nicole Powell, Eric Payne, Crystal Fox, Vanessa Williams, Michael Ralph, Billy 'Sly' Williams, Kim Hawthorne, Afemo Omilami, Paula Kelly, Charles Brown",Political satire about an underground militant group that kidnaps African-Americans who have sold out their race. The story follows as the group led Curtis-Hall and Rhames kidnaps an ...,4.8,517,$ 2000000,$ 734693,$ 734693,,14.0,4.0
tt0109676,Omicidio nel vuoto,Drop Zone,1994,1995-02-09,"Action, Adventure, Thriller",101,USA,English,John Badham,"Tony Griffin, Guy Manos",Paramount Pictures,"Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter, Corin Nemec, Kyle Secor, Luca Bercovici, Malcolm-Jamal Warner, Rex Linn, Grace Zabriskie, Robert LaSardo, Sam Hennings, Claire Stansfield, Mickey Jones, Andy Romano",A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,5.6,18953,$ 45000000,$ 28735315,$ 28735315,,51.0,28.0
tt0109678,Jui kuen III,Jui kuen III,1994,1994-07-02,"Action, Adventure",91,"Hong Kong, China",Cantonese,Chia-Liang Liu,Stanley Wing Siu,,"Andy Lau, Michelle Reis, Willie Chi, Simon Yam, Chia-Liang Liu, Adam Cheng, Chia-Hui Liu, Ka-Kui Ho, Giorgio Pasotti","At the dawn of the 20th century, a sinister criminal organization has plotted against Chinese imperial family. Someone must stop them. Someone who is skillful in martial arts.",5.1,346,,,$ 915496,,5.0,6.0
