imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0064400,Amleto,Hamlet,1969,1970-04-09,Drama,117,UK,English,Tony Richardson,"Tony Richardson, William Shakespeare",Filmways Pictures,"Nicol Williamson, Judy Parfitt, Anthony Hopkins, Marianne Faithfull, Mark Dignam, Michael Pennington, Gordon Jackson, Ben Aris, Clive Graham, Peter Gale, Roger Livesey, John J. Carney, Richard Everett, Robin Chadwick, Ian Collier",Nicol Williamson takes the lead role in this star-studded 1969 version of William Shakespeare's tragedy. Prince Hamlet (Williamson) mourns his father's death and his mother's (Judy ...,6.9,708,,,,,24.0,9.0
tt0064403,La straordinaria fuga dal campo 7A,Hannibal Brooks,1969,1969-03-30,"Comedy, Adventure, War",101,"UK, USA","English, German",Michael Winner,"Michael Winner, Tom Wright",Scimitar Films,"Oliver Reed, Michael J. Pollard, Wolfgang Preiss, John Alderton, Helmuth Lohner, Peter Carsten, Karin Baal, Ralf Wolter, Jürgen Draeger, Maria Brockerhoff, Til Kiwe, Ernst Fritz Fürbringer, Erik Jelde, Fred Haltiner, John Porter-Davison","A prisoner of war working at a zoo gets the chance to escape from the Germans, so he does and he takes with him the elephant that he's been caring for. Together they head for the Swiss border and freedom.",6.6,1314,,,,,24.0,12.0
tt0064405,Lieto fine,The Happy Ending,1969,1970-05-22,Drama,117,USA,English,Richard Brooks,Richard Brooks,Pax Enterprises,"Jean Simmons, John Forsythe, Shirley Jones, Lloyd Bridges, Teresa Wright, Dick Shawn, Nanette Fabray, Bobby Darin, Tina Louise, Kathy Fields, Karen Steele, Gail Hensley, Eve Brent, William O'Connell, Barry Cahill",A middle-aged woman walks out on her husband and family in an desperate attempt to find herself.,6.4,950,,,,,20.0,15.0
tt0064406,Uno sporco contratto,Hard Contract,1969,1969-05-15,"Drama, Mystery, Romance",106,USA,English,S. Lee Pogostin,S. Lee Pogostin,Twentieth Century Fox,"James Coburn, Lee Remick, Lilli Palmer, Burgess Meredith, Patrick Magee, Sterling Hayden, Claude Dauphin, Helen Cherry, Karen Black, Sabine Sun","A cold hearted American hit man goes to Europe for 'one last score'. His encounter with a beautiful young woman casts self doubt on his lifeblood, and influences him to resist carrying out the contract",5.9,491,,,,,23.0,11.0
tt0064409,Il pistolero di Dio,Heaven with a Gun,1969,1969-06-13,"Drama, Western",101,USA,English,Lee H. Katzin,Richard Carr,King Brothers Productions,"Glenn Ford, Carolyn Jones, Barbara Hershey, John Anderson, David Carradine, J.D. Cannon, Noah Beery Jr., Harry Townes, William Bryant, Virginia Gregg, James Griffith, Roger Perry, Claude Woolman, Ed Bakey, Barbara Babcock","In a frontier town, gunslinger-turned-preacher Jim Killian is caught in the middle of a violent range war between cattlemen and sheep-men.",6.3,745,,,,,15.0,4.0
tt0064410,Heintje - Ein Herz geht auf Reisen,Heintje - Ein Herz geht auf Reisen,1969,1969-08-26,"Family, Music",104,West Germany,German,Werner Jacobs,"Eberhard Keindorff, Johanna Sibelius",Allianz Filmproduktion,"Heintje Simons, Heinz Reincke, Gerlinde Locker, Sieghardt Rupp, Dagmar Altrichter, Ralf Wolter, Solvi Stubing, Konrad Georg, Rudolf Schündler, Karin Field, Mogens von Gadow, Peter W. Staub, Edith Hancke, Hans Terofal",,4.5,143,,,,,5.0,
tt0064411,Heintje - Einmal wird die Sonne wieder scheinen,Heintje - Einmal wird die Sonne wieder scheinen,1970,1970-03-25,"Family, Musical",98,West Germany,German,Hans Heinrich,Barbara Anders,Allianz Filmproduktion,"Heintje Simons, Heinz Reincke, Gerlinde Locker, Paul Dahlke, Helmut Förnbacher, Christiane Rücker, Jan Hendriks, Agnes Windeck, Martin Jente, Rudolf Schündler, Ralf Wolter, Friedrich Schoenfelder, Robert Meyn, Willi Rose, Uwe Reichmeister",Seit dem Tod seiner Frau kümmert sich Klaus Helwig aufopferungsvoll um seinen Sohn Heintje.,5.8,222,,,,,12.0,
tt0064415,Angeli della violenza,Hell's Angels '69,1969,1970-02-08,"Action, Drama",97,USA,English,Lee Madden,"Don Tait, Tom Stern",Tracom,"Tom Stern, Jeremy Slate, Conny Van Dyke, Steve Sandor, Sonny Barger, Terry the Tramp, Clifford Workman, Tiny Walters, Charles Tinsley, The Oakland Hells Angels, G.D. Spradlin, Bobby Hall, Bob Harris, Raymond Renard, Ric Henry","Two brothers have a plan on how to rob the Ceasar's Palace in Las Vegas. They join a motorcycle gang and while the others are drinking and partying outside of town, they change their ...",5.5,388,,,,,16.0,13.0
tt0064417,L'incredibile casa in fondo al mare,Hello Down There,1969,1969-06-25,"Comedy, Sci-Fi",88,USA,English,"Jack Arnold, Ricou Browning","Art Arthur, John McGreevey",Ivan Tors Productions,"Tony Randall, Janet Leigh, Roddy McDowall, Jim Backus, Ken Berry, Charlotte Rae, Kay Cole, Richard Dreyfuss, Lou Wagner, Gary Tigerman, Arnold Stang, Harvey Lembeck, Merv Griffin, Lee Meredith, Bruce Gordon",A marine scientist volunteers to have his family live in a prototype underwater home to prove it's practical.,5.9,688,,,,,38.0,8.0
tt0064418,"Hello, Dolly!","Hello, Dolly!",1969,1969-12-16,"Adventure, Comedy, Musical",146,USA,English,Gene Kelly,"Michael Stewart, Thornton Wilder",Chenault Productions,"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew, Danny Lockin, E.J. Peaker, Joyce Ames, Tommy Tune, Judy Knaiz, David Hurst, Fritz Feld, Richard Collier, J. Pat O'Malley, Louis Armstrong","Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to New York City along the way.",7.1,13203,$ 25000000,$ 400881,$ 400881,51.0,126.0,34.0
