imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt1245678,The Torturer,The Torturer,2008,2008-10-15,"Drama, Horror, Mystery",86,USA,"English, German",Graham Green,"Graham Green, Chris Pawling",Conspiracy Films,"Nichelle Nichols, Mahsa Masoudi, Andrew W. Walker, Sophia Choi, Donnie L. Betts, Ali Jackson, Paul Keables, Dave Ballantine, Laura Grey",A military interrogator returns from Iraq with Acute Post-Traumatic Stress Disorder.,4.5,243,$ 1500000,,,,6.0,7.0
tt1245719,Hong he,Hong he,2009,2009-04-10,Drama,100,China,"Vietnamese, Mandarin",Jiarui Zhang,Jiarui Zhang,IDG China Media,"Jingchu Zhang, Nick Cheung, Loletta Lee, Danny Lee, Hua Ye","A haunting, tragic love story about the aftermath of the American War in Vietnam, and the long-term effect it had on ordinary people's lives. Set in a border town between China and Vietnam,...",6.3,162,$ 2000000,,,,3.0,2.0
tt1245721,Kolekcioniere,Kolekcioniere,2008,2008-04-06,Drama,84,Lithuania,Lithuanian,Kristina Buozyte,"Kristina Buozyte, Darius Gylys",Reflex,"Gabija Jaraminaite, Marius Jampolskis, Valda Bickute, Darius Gumauskas, Valerijus Jevsejevas, Darius Petkevicius, Renata Kutinaite, Ramunas Cicenas, Simona Milutyte, Nerijus Gadliauskas, Sergejus Ivanovas, Julius Zalakevicius, Gintautas Kaveckas, Dalia Morozovaite, Lukas Petrauskas","Following a traumatic experience, Gaile, a speech therapist, is incapable of feeling any emotion. However, while preparing a video presentation for a scientific conference, she sees herself...",7.1,525,EUR 15000,,$ 4328,,1.0,2.0
tt1245732,Red Alert: The War Within,Red Alert: The War Within,2009,2010-07-09,"Action, Drama, Thriller",120,India,Hindi,Ananth Narayan Mahadevan,"Ananth Narayan Mahadevan, Ananth Narayan Mahadevan",Star Entertainments,"Sunil Shetty, Sameera Reddy, Ashish Vidyarthi, Vinod Khanna, Naseeruddin Shah, Seema Biswas, Ayesha Dharker, Makrand Deshpande, Ehsan Khan, Bhagyashree, Amar Adatia, Gulshan Grover, Zakir Hussain, Aditya Lakhia, Deep Raj Rana",An impoverished cook is forced to join a band of Naxalites.,6.4,329,,,,,10.0,5.0
tt1245735,Smash Cut,Smash Cut,2009,2010-12-29,"Comedy, Horror",86,Canada,English,Lee Demarbre,Ian Driscoll,Zed Filmworks,"David Hess, Jesse Buck, Michael Berryman, Ray Sager, Sasha Grey, Jennilee Murray, Michael Dubue, Barry Blake, Parisa Kasaei, Peter Michael Dillon, Meghanne Kessels, Jeff Lawson, Mercedes Papalia, Herschell Gordon Lewis, Cinthia Burke","After his latest film is met with horrible reviews, Able Whitman sets out to prove the critics wrong by finding inspiration in his cast and crew. Sometimes great art requires great sacrifice, and the director always gets final cut.",3.7,1259,CAD 350000,,,,15.0,45.0
tt1245736,Zapreshchyonnaya realnost,Zapreshchyonnaya realnost,2009,2009-10-08,"Action, Sci-Fi, Thriller",90,Russia,Russian,Konstantin Maksimov,"Vasily Golovachov, Konstantin Maksimov",PS TVC Studio,"Igor Petrenko, Lyubov Tolkalina, Aleksandr Baluev, Vladimir Vdovichenkov, Anna Khodyush, Tina Kandelaki, Valery Guryev, Lev Prygunov, Andrey Chubchenko, Boris Smorchkov, Vladimir Panchik, Olga Zaytseva, Vasily Golovachov, Mikhail Samokhvalov, Yury Gamayunov","When Special forces agent Matvey Sobolev survives an explosion, he realizes he must master the art of absolute inner power before confronting his powerful rival, Kurylo, a cruel leader of a criminal syndicate.",3.5,766,,,$ 2031554,,11.0,12.0
tt1245771,Le dernier pour la route,Le dernier pour la route,2009,2009-09-23,Drama,106,France,French,Philippe Godeau,"Hervé Chabalier, Philippe Godeau",Pan Européenne,"François Cluzet, Mélanie Thierry, Michel Vuillermoz, Anne Consigny, Éric Naggar, Marilyne Canto, Bernard Campan, Lionnel Astier, Raphaëline Goupilleau, Eva Mazauric, Françoise Pinkwasser, Riton Liebman, Arthur Moncla, Ninon Brétécher, Philippe du Janerand","Story about people who are addicted on alcohol, they are gathered in ressurection center and trying to give up on their horrible habit, passion and relationships won't leave you unexcited",6.6,486,,,$ 2896309,,2.0,5.0
tt1245773,Pihalla,Pihalla,2009,2009-10-23,Drama,93,"Finland, Germany","German, Finnish, English",Tony Laine,"Petja Peltomaa, Sanna Reinumägi",Helsinki-Filmi,"Sibel Kekilli, Teemu Palosaari, June Hyde, Alisa Hakala, Venla Hakala, Mikael Hakarauta, Matleena Kuusniemi, Mari Perankoski, Pihla Viitala, Carla Argentato, Helene Grass, Sunja-Luminka Hyde, Jarmo Koivu, Nicolette Krebitz, Wendla Lahtinen",Pihalla.,4.8,264,EUR 1200000,,$ 145505,,1.0,
tt1245774,Jail,Jail,2009,2009-11-06,Drama,131,India,Hindi,Madhur Bhandarkar,"Madhur Bhandarkar, Ajay Garg",Bhandarkar Entertainment,"Manoj Bajpayee, Atul Kulkarni, Neil Nitin Mukesh, Mugdha Godse, Arya Babbar, Nassar Abdulla, Rahul Singh, Navni Parihar, Chetan Pandit, Ghanshyam Garg, Sandeep Mehta, Kamlesh Sawant, Jignesh Joshi, Sanjeev Siddharth, Parvez Khan","Remanded to policy custody, a man reviews his options in an overcrowded jail while awaiting trial.",6.2,1185,,,,,20.0,7.0
tt1245775,Knerten,Knerten,2009,2009-10-16,"Adventure, Comedy, Family",74,Norway,Norwegian,Åsleik Engmark,"Birgitte Bratseth, Anne-Cath Vestly",Paradox,"Adrian Grønnevik Smith, Åsleik Engmark, Pernille Sørensen, Jan Gunnar Røise, Petrus Andreas Christensen, Per Schaanning, John F. Brungot, Kjersti Fjeldstad, Per Jansen, Amalie Blankholm Heggemsnes, Ole Johan Skjelbred-Knutsen, Daniel Batchin, Jan-Paul Brekke, Magnus Devold, Niklas Hovland","Lillebror, a mischievous and quick-witted boy, has just moved out of town and not made any new friends yet. One day he discovers a twig - Knerten - in a pile of firewood, and this becomes ...",5.8,431,,,$ 4414534,,1.0,15.0
